codigo,empresa,puesto,inicio,fin,descripcion
JRH0,Hotel Crown Plaza,Gerente de Mantenimiento,02/2013,06/2013,Administración de inversiones y mantenimiento
JRH0,Corporación Musmanni,Ingeniero de Proyectos,04/2012,12/2012,Remodelación de edificios y coordinación de permisos
JRH0,Walmart México y Centroamérica,Coordinador de instalaciones electromecánicas,12/2008,03/2012,Coordinación de instalaciones electromecánicas en proyectos de construcción
HEV0,Instituto Nacional de Biodiversidad,Desarrollador de software,01/2008,12/2009,
HEV0,Instituto Nacional de Biodiversidad,Administrador de la red y encargado de seguridad informatica,01/2010,12/2011,
COZ0,Agilis Engineering,Ingeniero de Diseño Mecánico,01/01/2008,01/01/2011,Diseño mecánico de componentes de turbinas de gas
CPS0,Instituto Costarricense de Electricidad,Ingeniero de Inspección de Calidad,01/01/1993,01/01/1994,"Construcción Proyecto Hidroeléctrico Toro I, Toro II y el de Angostura."
CPS0,Republic Tobbaco Company,Gerente de Mantenimiento,01/01/94,01/01/2001,
CPS0,Baxter Productos Médicos,Supervisor de Manufactura,01/01/2001,01/06/2001,
CPS0,Amanco Plycem,Gerente de Ingeniería,01/07/2001,01/01/2006,
CPS0,ITT Industries,Jefe de Mantenimiento,01/01/2006,01/01/2008,
CPS0,Irex Costa Rica,Subgerente de Mantenimiento y Facilidades,01/01/2008,01/01/2012