id,codSaber
CIB0001,MAT
CYD0002,ING
CIB0101,MAT
CIB0102,FIS
CIB0103,FIS
CIB0104,QUI
CIB0105,QUI
CYD0106,COE
CYD0107,DPI
FPH0108,ECS;HIP
CIB0201,MAT
CIB0202,FIS
CIB0203,FIS
AUT0205,PRO;MAC
CYD0206,COE
IMM0207,MSF
FPH0208,ECS;HIP
FPH0209,ECS
CIB0301,MAT
CIB0302,MAT
IEE0303,CEE
IEE0304,CEE;MET
IEE0305,IYT;MET
IMM0307,MSF
FPH0308,ECS
FPH0309,HIP
CIB0401,MAT
CIB0402,MAT
IEE0403,CEE
IEE0404,CEE;MET
IEE0405,IYT;MET
IMM0407,TTC
FPH0408,ECS
FPH0409,HIP
FPH0501,EMP
ADD0502,EYD
IEE0503,CEE
AUT0504,MYS
IMM0506,CIM
IMM0507,MAN;CIM
IMM0508,MAN;CIM;MET
CYD0601,ING
ADD0602,CDM
IEE0604,CEE
IMM0605,TTC
IMM0606,MSF
IMM0607,MSF
IMM0608,MSF;MET
CYD0609,DPI
FPH0701,ADP
IEE0702,MEE
IEE0703,MEE;MET
AUT0704,SCA
AUT0705,MAC
IMM0706,EDM
IMM0707,TTC
IMM0708,TTC;MET
IEE0802,MEE
IEE0803,MEE;MET
AUT0804,SCA
AUT0805,SCA
FPH0809,HIP
INS0801,DTE
INS0806,IEM
INS0807,IEM
INS0808,GCV
INS0901,GAE
INS0903,IEM
INS0904,IEM;MET
INS0905,LID;SYC;IPR
INS0906,IEM
INS0907,IEM;MET
INS0908,IEM
INS0909,IEM;MET
INS1003,GEE
INS1005,LID;SYC;IPR
INS1006,GCV
INS1007,IEM
AER0801,GCA
AER0806,AME
AER0807,AME
AER0808,SAA
AER0901,ADC
AER0902,ACP
AER0903,ADC
AER0905,LID;SYC;IPR
AER0906,AME
AER0908,SAA
AER1001,GCA
AER1002,ACP
AER1003,ADC
AER1005,LID;SYC;IPR
SCF0801,ISC
SCF0806,RBT
SCF0807,ASE
SCF0808,CIS
SCF0901,MNC
SCF0902,ISC
SCF0903,AYD
SCF0906,RBT
SCF0907,AYD
SCF1001,ISC
SCF1002,AYD
SCF1003,LID;SYC;IPR
SCF1007,AIA