codigo,licReciente,licTotal,licDesarrollo,mscReciente,mscTotal,mscDesarrollo,phdReciente,phdTotal,phdDesarrollo
JRH0,6,15,1,2,3,0,0,0,0
AGZ0,12,80,1,0,0,0,0,0,0
LCR0,0,6,0,0,0,0,0,0,0
CVS0,3,14,0,1,3,0,0,0,0
NUS0,0,0,2,0,0,0,0,0,0
JGF0,2,2,0,0,0,0,0,0,0
HJQ0,0,3,0,0,0,0,0,0,0
COZ0,4,16,0,0,0,0,0,0,0
VJH0,1,10,0,1,0,0,0,0,0
LGG0,15,30,0,5,10,0,0,0,0
OGC0,5,27,1,0,1,0,0,0,0
LMS0,2,35,0,0,1,0,0,0,0
SMO0,4,23,0,4,7,1,0,0,0
CPS0,24,80,3,7,44,2,0,0,0
FBG0,4,4,0,0,0,0,0,0,0
GBG0,0,23,0,7,9,2,0,0,0
GGR0,10,20,1,5,20,2,0,0,0
GRN0,0,9,3,0,0,0,0,0,0
IVG0,10,66,0,5,21,0,0,0,0
JGC0,10,27,0,0,0,0,0,0,0
JMJ0,6,8,0,0,0,0,0,0,0
JAC0,,,,,,,,,
JMH0,4,9,1,0,0,0,0,0,0
JRG0,9,9,0,0,0,0,0,0,0
LSM0,5,5,0,0,0,1,0,0,0
LAR0,0,7,0,0,0,0,0,0,0
MMC0,8,95,0,0,0,0,0,0,0
NVP0,10,0,0,0,1,0,0,0,0
OMR0,6,36,1,0,5,0,0,0,0
REH0,14,45,3,6,17,1,0,0,0
FMG0,0,0,0,0,0,0,0,0,0
LCG0,6,6,1,0,0,0,0,0,0
MJC0,3,0,0,0,0,0,0,0,0
MBC0,10,10,0,0,0,0,0,0,0
JPS0,1,3,1,0,0,0,0,0,0
SMC0,12,14,1,0,0,0,0,0,0
GMJ0,2,2,0,1,1,0,0,0,0
LMC0,3,4,1,0,0,0,0,0,0
RMC0,3,3,2,0,0,0,0,0,0